Title,Article,topic,topic_name
Power sector: Adani Group sets July deadline to pay dues,"indias, adani, group, set, july, deadline, bangladesh, government, pay, power, outstanding, bill, bangladesh, power, development, board, pdb, sunday, receive, letter, indian, conglomerate, regard, early, adani, group, send, letter, authority, set, november, deadline, pay, time, company, pressure, government, speak, shut, production, unit, adani, group, letter, pdb, group, owe, million, bangladesh, money, outstanding, power, export, bangladesh, january, money, pay, june, pdb, pay, delay, fee, alongside, pdb, official, tell, prothom, alo, dispute, coal, price, bill, adani, calculate, coal, price, account, method, mention, agreement, pdb, calculate, bill, consider, actual, coal, price, result, discrepancy, appear, calculation, accord, pdb, million, despite, old, money, pay, regularly, adani, group, pdb, send, letter, long, time, adani, powerplant, situate, godda, jharkhand, india, coalfired, twounit, powerplant, generation, capacity, mw, agreement, bangladesh, buy, electricity, year, unit, godda, powerplant, come, commercial, generation, april, production, unit, begin, june, year, pdb, sign, power, import, agreement, adani, group, plant, supply, mw, day, compromise, bill, payment, reach, company, shut, unit, november, year, adani, group, resume, power, production, close, unit, pdb, open, new, lcs, letter, credit, pay, bill, currently, loan, pay, letter, credit, adani, group, produce, power, use, unit, plant, demand, electricity, dip, winter, unit, likely, production, summer, season, march, pdb, source, discussion, representative, adani, group, pdb, place, january, issue, discuss, meet, follow, adani, group, send, formal, letter, letter, issue, january, mention, content, discussion, adani, powerplant, suffer, liquidity, crisis, pay, adani, group, offer, waiver, delay, fee, december, pay, june, year, letter, request, outstanding, bill, interest, pdb, adani, group, early, adani, group, october, send, letter, authority, open, letter, credit, october, year, pdb, commit, pay, money, adani, group, late, shut, production, unit, october, pdb, authority, pdb, chairman, md, rezaul, karim, tell, prothom, alo, sunday, adani, group, remind, early, pay, pdb, receive, formal, letter, today, sunday, decision, pay, controversy, contract, sign, adani, group, special, power, act, float, tender, previous, awami, league, government, interim, government, repeal, special, power, act, know, immunity, act, apart, committee, form, review, contract, power, sector, committee, find, irregularity, power, purchase, contract, adani, group, work, recommendation, amend, contract, report, originally, publish, online, section, prothom, alo, rewrite, english, shameem, reza",5,Finance and Infrastructure
Chief Adviser to visit ‘Aynaghar’ soon,"chief, adviser, dr, muhammad, yunus, visit, aynagar, soon, dr, yunus, meet, member, commission, inquiry, enforce, disappearance, state, guest, house, jamuna, sunday, afternoon, inform, chief, adviser, progress, investigation, case, enforce, disappearance, member, commission, request, visit, joint, interrogation, cell, know, aynahgor, mirror, house, chief, adviser, visit, aynaghor, victim, disappearance, feel, free, safe, meet, commission, chief, adviser, description, brutal, torture, victim, enforce, disappearance, disappearance, sixyearold, child, reveal, investigation, respond, commission, chief, adviser, muhammad, yunus, story, come, light, investigation, commission, shock, dr, yunus, visit, aynaghor, soon",8,Governance and Administration
"Political consideration in health research, no benefit for nation","bangladesh, medical, research, council, bmrc, fund, average, research, project, annually, total, project, period, nation, receive, benefit, research, bmrcfunded, project, turn, valueless, irregularity, corruption, bmrc, large, medical, research, facility, bangladesh, analysis, record, reveal, research, project, approve, base, political, consideration, award, awami, league, minister, good, leader, activist, proawami, league, physician, group, swadhinata, chikitsak, parishad, swachip, allegation, bribery, fund, allocation, process, surface, accord, bmrc, invite, research, proposal, year, public, circular, forward, submission, anonymously, reviewer, approve, proposal, send, scientific, review, committee, allocate, fund, final, approval, bmrc, chairman, professor, ma, mannan, professor, mahmud, hasan, professor, syed, modasser, ali, director, professor, harunorrashid, professor, habibe, millat, mahduduzjahan, professor, ruhul, amin, professor, syed, modasser, ali, professor, modasser, ali, serve, chairman, director, november, june, speak, prothom, alo, january, professor, syed, modasser, ali, claim, impossible, bmrc, chairman, influence, researchrelated, activity, engage, corruption, senior, physician, bangladesh, medical, association, president, professor, rashidemahbub, raise, question, regard, capability, bmrc, leadership, appoint, bmrc, lack, proper, understand, research, people, sound, understand, research, permit, bmrc, fund, share, collusion, official, employee, certain, individual, report, cutpaste, work, genuine, research, skill, manpower, verify, bmrc, sponsor, research, project, development, revenue, fund, researcher, physician, include, postgraduate, student, medical, research, council, fund, research, project, total, average, project, year, total, tk, million, allocate, research, period, equate, average, tk, project, student, researcher, receive, grant, year, period, allocation, range, tk, tk, apart, student, low, allocation, tk, grant, shah, arman, dhaka, universitys, pharmacy, department, fiscal, year, contrast, sn, associate, firm, base, dhakas, aftabnagar, receive, high, allocation, tk, million, covid, research, backdrop, question, arise, highquality, medical, research, conduct, low, fund, professor, syed, modasser, ali, admit, quality, research, impossible, limit, resource, long, policy, influencer, awami, league, regime, serve, health, affair, adviser, oust, prime, minister, ismat, ara, parvin, instructor, government, nurse, college, mohakhali, receive, tk, study, asthma, inhaler, use, year, receive, total, tk, million, research, project, contact, claim, complete, research, project, ask, research, report, ready, provide, single, report, inaccessible, technical, glitch, personal, computer, allegation, qualify, researcher, despite, submit, application, proper, way, deny, grant, select, receive, repeat, fund, example, mohammad, ibrahim, khalil, shaheed, suhrawardy, medical, college, receive, grant, time, total, tk, million, involve, chhatra, league, student, life, swachip, politic, professional, life, case, researcher, receive, fund, twice, single, year, aytunnesa, assistant, professor, pathology, birdem, hospital, receive, tk, tk, separately, autism, research, fiscal, year, grant, fund, research, project, total, health, minister, professor, afm, ruhul, haque, serve, swachip, president, decade, receive, grant, tk, research, project, fy, fy, similarly, swachip, secretary, general, professor, iqbal, arsalan, serve, position, afm, ruhul, haques, presidency, receive, grant, time, total, tk, million, individual, affiliate, swachip, find, list, grant, recipient, private, research, firm, condition, anonymity, allege, bmrc, fund, allocate, type, people, swachip, affiliate, pay, bribe, individual, familiar, process, write, bmrc, regard, irregularity, research, allocation, researcher, claim, pay, additional, fee, require, cent, valueaddedtax, vat, bmrc, director, mahmuduzzaman, confirm, extra, fee, collect, administrative, audit, purpose, deny, bribe, january, prothom, alo, contact, bmrc, director, nurul, huda, scientific, officer, sajedur, rahman, regard, research, finding, impact, confirm, research, paper, publish, domestic, international, journal, government, development, project, initiate, base, research, outcome, researcher, submit, copy, report, medical, research, council, store, library, office, concern, bmrc, official, note, researcher, public, turn, access, report, instance, medium, report, research, finding, allegation, research, low, quality, little, relevance, unnecessary, hossain, zillur, rahman, note, economist, caretaker, government, adviser, describe, bmrc, situation, reflection, overall, failure, health, sector, research, value, carry, solely, exhaust, fund, issue, nepotism, leadership, policymaking, level, attach, importance, research, health, professional, share, responsibility, failure",1,Research and Development
Reform reports sans political parties’ consensus won’t be acceptable: Mirza Fakhrul,"bangladesh, nationalist, party, bnp, secretary, general, mirza, fakhrul, islam, alamgir, report, reform, commission, acceptable, consensus, political, party, mirza, fakhrul, remark, speak, journalist, pay, tribute, grave, bnp, founder, ziaur, rahman, capital, sherebangla, nagar, sunday, occasion, party, founder, birth, anniversary, reply, query, bnps, reaction, submission, report, reform, commission, mirza, fakhrul, islam, initially, comment, receive, report, government, plan, hold, talk, political, party, report, decision, finally, acceptable, consensus, reply, query, bnps, demand, hold, election, julyaugust, quarter, label, unrealistic, mirza, fakhrul, repeatedly, contradiction, reform, election, party, come, power, election, continue, reform, initiative, clarify, party, forward, reform, initiative, speak, party, founder, bnp, leader, ziaur, rahman, soldier, declare, independence, bangladesh, people, bangladesh, join, liberation, war, similarly, ziaur, rhaman, come, power, sepoyjanata, biplob, soldier, people, revolution, start, work, new, reform, short, time, build, modern, prosperous, bangladesh, mirza, fakhrul, state, add, ziaur, rhaman, introduce, multiparty, democracy, reform, party, ziaur, rhaman, found, large, party, country, overcome, obstacle, year, successor, khaleda, zia, strengthen, party, ill, london, pray, recovery, mirza, fakhrul, add, mirza, fakhrul, expect, unity, people, strong, system, establish, return, democracy, election, soon, possible",2,Politics and Policy
Nazrul’s grandson Babul Kazi dies from burn injuries,"babul, kazi, grandson, national, poet, kazi, nazrul, islam, pass, away, sunday, afternoon, battle, severe, burn, injury, babul, kazi, succumb, injury, pm, receive, treatment, national, institute, burn, plastic, surgery, nibps, confirm, dr, shawon, bin, rahman, resident, surgeon, hospital, dr, shawon, babul, sustain, burn, injury, minor, explosion, occur, saturday, light, cigarette, washroom, residence, family, member, rush, hospital, condition, worsen, babul, place, life, support, pm, saturday, dr, shawon, add",4,Conflict and International Relations
Bangladesh receives $1.21b in remittance in 18 days,"expatriate, bangladeshi, send, billion, remittance, day, january, fiscal, year, remittance, stateowned, specialise, bank, account, million, private, bank, receive, million, accord, bangladesh, bank, bb, datum, release, today, sunday, stateowned, commercial, bank, agrani, janata, rupali, sonali, basic, bdbl, receive, million, stateowned, specialise, bank, bangladesh, krishi, bank, receive, million, stateowned, bank, agrani, bank, receive, million, janata, bank, million, rupali, bank, million, sonali, bank, million, basic, bank, receive, million, high, million, remittance, come, country, islami, bank, bangladesh, ltd",5,Finance and Infrastructure
We want to know the government's economic plan,"easy, difficult, path, increase, revenue, easy, path, raise, import, duty, valueadded, tax, vat, difficult, path, income, tax, collection, interim, government, choose, easy, path, question, arise, government, need, raise, vat, supplementary, duty, product, halfway, fiscal, year, government, opt, easy, path, alternative, answer, question, let, recall, key, event, bangladeshs, economic, history, instance, april, awami, league, government, declare, taka, note, obsolete, month, late, exchange, rate, taka, british, pound, drastically, change, value, pound, tk, increase, tk, devaluation, cent, ziaur, rahman, come, power, act, economic, adviser, finance, ministry, increase, price, fertilizer, budget, fiscal, year, reduce, subsidy, agriculture, impose, tax, agriculture, fiscal, year, finance, minister, saifur, rahman, significant, change, tax, structure, month, half, budget, pass, reduce, import, duty, product, cent, change, budget, rare, incident, awami, league, government, raise, fuel, price, time, electricity, price, time, water, price, timesin, recent, year, major, economic, crisis, begin, onset, ukraine, war, dollar, price, surge, inflation, pressure, increase, context, august, government, raise, fuel, price, cent, government, step, invite, high, inflation, pressure, inflation, persist, late, development, occur, january, government, issue, ordinance, raise, vat, supplementary, duty, product, question, arise, connection, event, let, explore, tajuddin, ahmads, resignation, dr, azizur, rahman, mallik, finance, minister, awami, league, government, main, decision, relate, fulfill, condition, international, monetary, fund, imf, loan, bangladesh, receive, imf, loan, june, loan, july, accord, world, bank, report, publish, march, title, bangladesh, current, economic, performance, shortterm, prospect, cent, devaluation, taka, economic, reform, imfs, loan, programme, ziaur, rahman, power, world, bank, report, state, new, government, continue, imf, programme, commit, reduce, subsidy, impose, tax, agriculture, liberalise, import, turn, condition, consistently, fulfill, massive, reduction, import, duty, condition, obtain, million, development, support, credit, dsc, loan, world, bank, vice, president, world, bank, south, asia, region, prof, praful, c, patel, meet, finance, minister, saifur, rahman, july, year, discuss, reduce, duty, exchange, loan, awami, league, come, power, finance, minister, abul, maal, abdul, muhith, seek, loan, imf, grant, april, loan, agreement, fuel, water, gas, price, regularly, raise, global, oil, price, drop, barrel, barrel, year, government, low, fuel, price, prioritize, ease, burden, ordinary, people, overall, bangladesh, loan, imf, fulfill, numerous, condition, finance, minister, government, publicly, acknowledge, budget, speech, mention, russiaukraine, war, begin, finance, minister, ahm, mustafa, kamal, write, imf, july, request, loan, subsequently, fuel, price, increase, cent, august, year, follow, cent, increase, water, price, november, imf, initial, approval, loan, final, decision, june, follow, year, condition, loan, pass, implement, new, vat, supplementary, duty, law, fulfill, condition, new, vat, law, pass, parliament, november, delay, pressure, businesspeople, imf, delay, release, fund, government, promise, implement, law, july, election, promise, final, installment, imf, loan, release, law, come, effect, national, electionsalthough, new, vat, law, implement, provision, original, law, drop, appease, stakeholder, original, vat, rate, set, cent, new, law, break, rate, bangladesh, bank, current, governor, ahsan, h, mansur, time, describe, new, law, old, wine, new, bottle, law, significantly, contribute, increase, countrys, revenue, secure, imf, loan, interim, government, revise, vat, law, january, government, raise, duty, tax, product, time, single, vat, rate, good, service, reinstate, accord, price, law, true, interim, government, inherit, imf, loan, condition, government, seek, additional, billion, crore, imf, december, imf, team, visit, bangladesh, recommend, increase, revenue, cent, gdp, tax, duty, product, raise, government, acknowledge, imfs, condition, policymaker, claim, change, negative, impact, market, reality, different, year, bangladesh, low, taxtogdp, ratio, world, increase, revenue, crucial, time, import, duty, major, source, revenue, vat, place, vat, indirect, tax, burden, fall, consumer, ideal, way, increase, revenue, direct, tax, income, tax, bangladesh, face, challenge, government, collect, income, tax, powerful, wealthy, choose, easy, path, collect, indirect, tax, interim, government, follow, path, government, inherit, fragile, economy, fix, overnight, easy, essential, understand, government, steer, economy, right, direction, priority, areit, true, past, month, government, positive, decision, regard, economy, people, investor, trust, government, action, inflation, decrease, investment, increase, clear, high, inflation, vat, increase, difficult, regain, people, trust, path, interim, government, office, august, month, day, current, fiscal, year, begin, government, nearly, entire, fiscal, year, implement, budget, state, economy, government, inherit, implement, budget, difficult, task, expect, finance, ministry, provide, economic, review, end, december, update, public, budget, implementation, economist, debapriya, bhattacharya, head, white, paper, draft, committee, recommend, midterm, review, economy, allow, public, understand, current, economic, situation, measure, impact, need, remain, month, fiscal, year, main, allegation, previous, authoritarian, government, poor, economic, management, adhoc, handle, economy, structure, consultation, discussion, economist, expert, hope, current, government, form, consultation, group, expert, investor, address, economic, issue, especially, criticize, matter, previous, government, charge, raise, vat, right, way, increase, revenue, way, fund, high, allowance, come, vat, increase, delay, negotiation, imf, interest, rate, policy, government, plan, rehabilitate, lose, employmentdiscussions, matter, increase, transparency, government, work, people, understand, government, goal, know, transparency, deep, relationship, trust, discussion, underway, regard, outline, election, reform, current, situation, equally, important, know, economic, roadmap, government, economic, plan, june, know, economic, situation, improve, inflation, pressure, decrease, employment, income, increase, people, little, interest, reform, shawkat, hossain, head, online, prothom, alo, column, appear, print, online, edition, prothom, alo, rewrite, english, edition, rabiul, islam",6,Economics and Financial Policies
A White Paper that delves into grey areas,"tough, tough, exactly, describe, situation, bangladesh, moment, thing, tough, tough, interim, government, plague, protest, pressure, conglomeration, problem, plate, tough, plough, situation, thats, question, air, nowadays, postuprising, high, expectation, somewhat, temper, general, sense, trepidation, sense, concern, underlie, symposium, recently, hold, white, paper, center, economic, management, reform, national, budget, feelgood, sense, businesspersons, academic, politician, economist, social, scientist, student, participant, audience, actually, voice, apprehension, vent, frustration, offer, bouquet, brickbats, equal, aplomb, end, proverbial, guillotine, daylong, event, throw, food, think, erudite, speaker, offer, forensic, analysis, white, paper, state, bangladesh, economy, prepare, committee, leadership, dr, debapriya, bhattacharya, importantly, focus, conundrum, veteran, economist, professor, rehman, hit, crux, problem, havent, diagnose, problem, malfunction, nonfunctioning, regime, year, economy, certainly, impact, debt, default, crony, capitalism, problem, deep, default, integrate, business, culture, advice, interim, government, good, use, time, come, prospective, solution, halfjokingly, question, mirza, fakhrul, islam, alamgir, hurry, election, youll, face, massive, problem, let, interim, government, sort, thing, bnp, secretary, general, mirza, fakhrul, islam, alamgir, exude, confidence, characteristically, smile, countenance, intimate, let, politician, job, politician, point, party, year, ago, tout, state, repair, reform, change, contain, point, upbeat, political, reform, economic, reform, rev, meet, public, aspiration, change, symposium, end, note, camaraderie, kudo, dr, debapriya, team, galaxy, personality, delve, nittygritty, countrys, economy, way, ahead, sweet, coat, bitter, pill, government, leave, swallow, criticism, harsh, time, response, discussion, debate, debapriya, interim, government, successfully, expose, malfeasance, past, government, magnitude, damage, economy, task, stabilise, macroeconomy, come, effective, reform, agendum, deftly, conduct, discussion, prod, speaker, prepare, presentation, leave, layperson, little, wise, expert, fodder, ponder, presentation, economist, dr, zahid, hussain, task, dissect, myth, fast, grow, economy, point, growth, estimate, base, correlate, average, cent, annually, fy, period, compare, cent, average, report, officially, reason, decline, state, economy, global, supply, bottleneck, misguide, policy, accelerate, capital, flight, political, uprising, political, disruption, flood, dr, hussain, feel, inaction, government, address, economic, problem, high, cost, way, forward, depend, policy, monetary, exchange, rate, fiscal, bank, energy, business, regulation, international, trade, taxation, public, expenditure, education, health, politic, commitment, economic, reform, nature, ability, cope, extreme, weather, event, member, custom, national, board, revenue, md, farid, uddin, nbr, reform, advisory, committee, recommend, good, tax, policy, good, reform, policy, management, leadership, holistic, digitalise, system, nbr, regulatory, body, importantly, political, commitment, echo, sentiment, high, public, mind, cant, vat, decrease, specifically, echo, mind, business, community, syed, nasim, manzoor, come, hard, government, present, state, flux, consumer, confidence, low, investor, confidence, nil, cost, business, remain, bone, contention, dr, masrur, reaz, chairman, ceo, policy, exchange, bangladesh, point, systematic, investment, promotion, strategy, market, intelligence, need, strengthen, optimistic, albeit, cautiously, optimistic, note, commerce, advisor, sheikh, bashir, uddin, change, manifestation, opportunity, certainly, reflect, interim, government, mantra, change, reform, remind, flounder, accrue, criminalise, institution, government, forge, ahead, effort, tcb, programme, marginalise, poor, effective, manner, address, immediate, need, public, sense, logical, explanation, symposium, speech, translate, food, poor, man, plate, misgiving, linger, come, vital, sector, energy, power, dr, tamim, vice, chancellor, iub, professor, buet, point, previous, regime, power, nexus, manipulate, policy, corruption, maximum, illegal, transaction, place, underhand, deal, geopolitical, influence, project, approval, energy, expert, bpdb, single, buyer, executioner, upstream, regulator, producer, easily, control, manipulate, ministry, political, master, way, forward, evaluation, current, status, prudent, transition, plan, require, ensure, energy, security, include, rigorous, onshoreoffshore, exploration, restructure, power, energy, sector, emphasis, renewable, energy, reduction, system, loss, cross, border, trade, operational, efficiency, interim, government, start, change, economist, professor, anu, muhammads, pragmatic, stance, professor, jahangirnagar, university, point, hasinas, government, obviously, support, base, need, eye, development, miracle, vendor, bureaucratic, black, hole, institutional, destruction, bad, financial, destruction, government, need, play, strong, role, restore, institution, critical, world, bank, adb, imf, prescription, promote, decrease, subsidy, increase, price, early, event, tasneem, siddiqui, professor, political, science, dhaka, university, found, chair, refugee, migratory, movement, research, unit, rmmru, point, remittance, migrant, worker, total, imf, loan, migrant, face, high, migration, cost, asia, increase, budget, allocation, sector, reiterate, interim, government, thrust, professor, lutfey, siddiqui, special, envoy, international, affair, chief, advisor, deliver, quality, service, people, aim, end, reform, reform, mean, end, stress, need, change, fundamental, culture, way, work, lot, symposium, stalwart, expert, field, cpd, dr, mustafizur, rahman, sanems, dr, selim, raihan, adviser, sharmeen, murshid, foreign, friend, deliberate, problem, solution, dr, debapriya, team, come, white, paper, delve, grey, area, hitherto, sweep, carpet, room, dissection, discussion, debate, despite, difference, difficulty, surface, come, away, event, sense, hope, dark, cloud, people, look, good, bangladesh",2,Politics and Policy
Displaced Gazans head home through rubble as Israel-Hamas truce begins,"thousand, displace, warweary, gazans, set, devastate, palestinian, territory, return, home, sunday, longawaited, truce, israel, hamas, effect, follow, initial, delay, ceasefire, begin, nearly, hour, late, schedule, time, israels, military, continue, operate, gaza, territorys, civil, defence, agency, report, people, kill, wound, bombardment, thousand, gazans, carry, tent, clothe, personal, belonging, head, home, month, war, displace, vast, majority, territorys, population, case, northern, area, jabalia, gazans, stream, sandy, path, return, apocalyptic, landscape, dot, pile, rubble, destroy, building, main, southern, city, khan, yunis, people, celebrate, pend, homecoming, im, happy, wafa, alhabeel, want, kiss, grind, soil, gaza, long, gaza, city, long, love, truce, schedule, begin, gmt, lastminute, dispute, list, hostage, free, day, lead, holdup, qatar, mediator, truce, late, confirm, effect, hostage, miss, family, forum, campaign, group, identify, woman, set, release, emily, damari, romi, gonen, doron, steinbrecher, hamas, wait, israel, furnish, list, contain, prisoner, category, woman, child, release, day, total, hostage, militant, hamass, october, attack, israel, return, gaza, initial, day, truce, exchange, palestinian, israeli, custody, truce, intend, pave, way, permanent, end, war, phase, finalise, follow, deal, strike, mediator, qatar, unite, state, egypt, month, negotiation, televise, address, saturday, netanyahu, day, phase, temporary, ceasefire, israel, support, return, war, necessary, gaza, city, good, ceasefire, effect, people, celebrate, wave, palestinian, flag, street, clear, truce, delay, joy, way, desperation, play, emotion, exhaust, maha, abed, yearold, displace, rafah, israeli, army, warn, gaza, resident, early, sunday, approach, force, israeli, territory, urge, head, buff, zone, idf, force, safety, military, spokesman, avichay, adraee, telegram, add, south, north, gaza, valley, risk, israel, ceasefire, meet, guard, optimism, trust, taxi, driver, david, gutterman, moment, problem, pop, im, happy, shai, zaik, employee, tel, avivs, art, museum, mix, feeling, hope, hostage, return, disappointment, year, wont, believe, happen, hostage, eye, happy, hope, israel, prepare, reception, centre, provide, medical, treatment, counsel, free, hostage, return, family, long, ordeal, truck, wait, gaza, border, poise, enter, egypt, soon, allclear, deliver, desperately, need, aidsome, truck, load, prefabricate, house, egyptian, foreign, minister, badr, abdelatty, truck, day, enter, gaza, ceasefire, effect, include, carry, fuel, war, previous, truce, week, november, release, hostage, hold, militant, exchange, palestinian, prisoner, hamass, october, attack, deadly, israels, history, result, death, people, civilian, accord, afp, tally, israeli, official, figure, people, hostage, gaza, include, israeli, military, dead, israels, retaliatory, campaign, destroy, gaza, kill, people, civilian, accord, figure, hamasrun, territorys, health, ministry, unite, nation, consider, reliable, truce, effect, eve, donald, trump, inauguration, term, president, unite, state, trump, claim, credit, ceasefire, deal, month, effort, outgoing, administration, president, joe, biden, tell, network, nbc, saturday, tell, netanyahu, war, end, want, end, brett, mcgurk, pointman, outgoing, president, joe, biden, join, region, trump, envoy, steve, witkoff, unusual, pair, finalise, agreement, official, deal, israeli, force, withdraw, densely, populate, area, gaza, allow, displace, palestinian, return, residence, qatars, prime, minister, announce, deal",4,Conflict and International Relations
"MBBS admission test results published, pass rate 45.62pc","result, mbbs, admission, test, government, private, medical, college, session, publish, sunday, afternoon, result, publish, pm, pass, rate, year, cent, candidate, pass, admission, test, student, primarily, select, government, medical, college, country, directorate, general, medical, education, dgme, additional, director, general, medical, education, professor, rubina, yasmin, tell, prothom, alo, decision, publish, result, meet, noon, today, late, result, publish, pm, candidate, learn, result, mbbs, admission, test, website, know, result, dgme, website, apart, message, send, phone, numb, candidate, use, application",5,Finance and Infrastructure
