"OriginalText","ProcessedText"
"Zhangjiajie, China's first national park, features glass-bottomed bridges, a mountain elevator and a food court complete with a McDonald's for those inclined to take it easy.","zhangjiajie china first national park feature glass bottomed bridge mountain elevator food court complete McDonald incline take easy"
"Many international travellers will soon need to register for an online authorisation before touching down in the UK or many EU nations.","many international traveler will soon need register online authorization touch UK many EU nation"
"Amid talk of sustainable aviation fuel and electric flights, there's another form of air travel currently being mooted as a green alternative to flying: the airship.","amid talk sustainable aviation fuel electric flight theirs another form air travel currently moot green alternative fly airship"
"Our writer climbs aboard the steam train making Christmastime appearances in London to mark the 20th anniversary of the animated film.","writer climb aboard steam train make Christmastime appearance London mark 20th anniversary animate film"
"Just in time for the holidays, stylist to the stars Erin Walsh shares her insider recommendations for getting to the heart of New York City's vast shopping scene.","just time holiday stylist star rein Walsh share insider recommendation get heart new York city vast shop scene"
"As smog in New Delhi makes headlines yet again, experts and holidaymakers alike are pondering how worsening air quality will change travel in the long term.","smog new Delhi make headline yet expert holidaymaker alike ponder worsen air quality will change travel long term"
"Set some 40km off Iceland's northern coast, this windswept sliver is home to one of Europe's most remote settlements and a thriving seabird population.","set 40km ice lands northern coast windswept sliver home one ropes remote settlement thrive seabird population"
"You can’t book them and you don't know who else will be there, but they're an excellent way to explore Britain's most remote corners – for free.","cannot book do know else will there excellent way explore brains remote corner free"
"Sixty years after the world's first high-speed train launched, rail enthusiast Paul Carter rides the bullet train along what's been dubbed the ""New Golden Route"".","sixty year world first high speed train launch rail enthusiast Paul carter ride bullet train along whatsits dub new golden route"
"From upcycled sewer pipes to spheres suspended in the sky, capsule hotels have been reinvented for a new generation of travellers.","up cycled sewer pipe sphere suspend sky capsule hotel reinvent new generation traveler"
"Tess Ledeux grew up on the slopes of La Plagne and now she's a world-class freestyle champion. Here are her picks for her home slopes, from après-ski to otherworldly Alpine views.","techs ledge grow slope la plane now shes world class freestyle champion pick home slope pressie otherworldly alpine view"
"Actor Ekin Koç called seaside Antalya home before conquering the world of Turkish film. Here are his picks, from hiking the Lycian Road to catching a concert at the Aspendos Theatre.","actor kin choc call seaside antenatal home conquer world Turkish film pick hike billycan road catch concert aspen dos theater"
"From hiking Dunn's River Falls to having bun and cheese, here are international pop artist Shenseea's picks for how to experience the best of her home nation.","hike duns river fall bun cheese international pop artist shebeens pick experience good home nation"
"Montreal-born chef Michele Forgione makes one of the best poutines in the city.","maltreatment chef Michele forgone make one good routines city"
"Istanbul-born chef Fatih Tutak shares his favourite culinary experiences in his hometown, from Turkish barbecue at Ahmet Ustam Ocakbaşı to micro-seasonal menus at Nazende.","stillborn chef faith takeout share favorite culinary experience hometown Turkish barbecue ah met us tam occasion micro seasonal menu denizen"
