"Title","Article"
"Fewer books sent to schools, education limping on","boy, pace, corridor, ideal, school, college, capital, motijheel, area, hes, student, classvii, institution, day, academic, calendar, finally, receive, textbook, provide, national, curriculum, textbook, board, nctb, sunday, receive, shoptoborna, anondopath, english, book, prescribe, class, pdf, version, book, download, home, student, classix, english, version, school, receive, single, textbook, teacher, lecture, class, help, print, copy, download, pdf, book, study, website, home, teacher, school, administrative, responsibility, receive, distribute, primary, level, textbook, bangla, version, secondary, level, provide, student, classvi, textbook, student, classviii, ix, book, student, grader, receive, textbook, textbook, primary, secondary, level, english, version, arrive, student, study, bangla, version, mothijheel, branch, school, student, english, version, current, state, free, textbook, distribution, primary, secondary, level, renowned, school, dhaka, institution, picture, little, visit, school, division, country, include, dhaka, behalf, prothom, alo, sunday, find, school, class, receive, new, book, student, classi, iii, receive, book, grader, receive, book, student, receive, bangla, english, mathematics, textbook, circumstance, lesson, study, patchy, manner, class, conduct, properly, presence, student, low, good, teacher, download, pdf, version, website, teach, place, student, learn, previous, year, textbook, teacher, teach, experience, school, teach, basic, absence, textbook, student, download, pdf, version, study, secondary, high, education, division, till, february, student, receive, book, observe, actual, situation, hand, february, possible, distribute, book, primary, level, till, march, reach, book, secondary, level, student, people, involve, print, business, reckon, new, academic, year, start, january, accord, nctb, source, million, textbook, print, million, primary, secondary, level, student, new, academic, year, million, textbook, primary, level, million, crore, book, certify, predelivery, inspection, till, january, mean, cent, textbook, deliver, numb, textbook, require, secondary, level, include, ibtedayi, madrasah, close, million, nctb, source, million, secondary, level, textbook, deliver, january, million, textbook, print, total, curriculum, change, textbook, revise, year, owe, change, political, set, print, textbook, delay, delay, complete, task, like, tender, approval, sign, contract, printer, speak, issue, include, shortage, paper, art, card, lack, sufficient, binder, difficulty, bank, loan, time, student, suffer, delay, receive, book, fault, education, division, good, printer, speak, nctb, chairman, professor, akm, reazul, hassan, tell, prothom, alo, sunday, continue, effort, deliver, book, fast, initiative, education, adviser, senior, secretary, secondary, high, education, division, try, solve, issue, mention, printer, expect, deliver, book, primary, level, classx, current, month, book, classvi, ix, available, student, month, add, correspondent, visit, school, dhaka, city, person, sunday, school, provati, uchya, biddyaniketon, eskaton, area, teacher, reveal, book, classi, ii, iii, arrive, hand, receive, book, classiv, book, classv, book, classvi, book, classvii, book, arrive, student, classviii, ix, x, receive, book, installment, assistant, teacher, information, communication, technology, ict, school, syed, abed, ali, receive, ict, textbook, conduct, lesson, experience, help, website, visit, english, version, biam, laboratory, school, find, textbook, student, classiii, arrive, thursday, book, classiv, v, receive, student, teach, classviii, ideal, government, primary, school, motijheel, textbook, distribute, student, classv, school, receive, book, classvi, viii, book, classvii, student, classv, viii, nasirabad, government, boy, high, school, chattogram, city, receive, textbook, student, classvi, vii, receive, book, student, classix, x, receive, teacher, school, tell, prothom, alo, class, irregularly, absence, book, speak, prothom, alo, chattogram, district, education, officer, uttam, khisa, demand, textbook, district, stand, million, till, sunday, afternoon, receive, million, book, district, primary, education, officer, sm, abdur, rahman, demand, primary, level, textbook, chattogram, year, stand, million, million, deliver, till, sunday, demand, book, preprimary, level, arrive, far, student, classviii, uttar, gosaipur, high, school, dinajpur, sadar, upazila, state, receive, textbook, garabaria, government, primary, school, kathuli, union, meherpur, district, receive, book, class, assistant, teacher, belgharia, government, primary, school, durgapur, area, rajshahi, motalib, mridha, class, download, textbook, online, write, lesson, board, student, copy, head, master, surbala, smriti, bidyapith, school, rangamati, sadar, upazila, arun, kanti, chakma, receive, book, classvi, book, classviii, book, classix, far, receive, book, phase, 4, grader, kakiyachhara, tea, estate, government, primary, school, sreemangal, upazila, moulvibazar, district, receive, textbook, cent, book, classi, ii, iii, deliver, head, master, school, zuthika, debi, teach, student, classiv, v, book, previous, year, receive, new, book, presence, student, low, absence, new, book, student, usually, enthusiastic, hand, new, textbook, prothom, alo, staff, correspondent, rajshahi, chattogram, barishal, correspondent, dinajpur, meherpur, jamalpur, rangamati, patiya, lohagara, sreemangal, help, information"
"Trump signs order to pull US from WHO, citing funding disparities","president, donald, trump, monday, sign, executive, order, direct, unite, state, withdraw, world, health, organisation, body, repeatedly, criticise, handle, covid, pandemic, speak, white, house, hour, inauguration, trump, unite, state, pay, far, un, body, compare, china, add, world, health, rip, unite, state, large, donor, genevabased, organization, provide, substantial, financial, support, vital, whos, operation, withdrawal, expect, trigger, significant, restructure, institution, far, disrupt, global, health, initiative, mark, time, trump, seek, sever, tie, term, unite, state, issue, notice, intent, withdraw, accuse, organization, overly, influence, china, pandemic, early, stage, late, reverse, president, joe, bidens, administration, new, executive, order, trump, direct, agency, pause, future, transfer, unite, state, government, fund, support, resource, identify, credible, transparent, unite, state, international, partner, assume, necessary, activity, previously, undertake, administration, announce, plan, review, rescind, bidens, global, health, security, strategy, design, prevent, detect, respond, infectious, disease, threat, soon, practicable, time, withdrawal, come, amid, mount, fear, pandemic, potential, current, bird, flu, outbreak, h, n, infect, dozen, claim, life, unite, state, member, state, negotiate, world, treaty, pandemic, prevention, preparedness, response, late, negotiation, set, proceed, participation"
"Dhaka greets Trump marking his inauguration","dhaka, monday, extend, greeting, donald, trump, set, swornin, term, president, unite, state, america, usa, hour, washington, dc, honorable, chief, adviser, muhammad, yunus, send, congratulatory, message, mr, donald, trump, election, president, unite, state, message, chief, adviser, express, firm, belief, nation, work, explore, new, avenue, cooperation, read, message, bangladesh, foreign, ministry, share, medium, message, read, reaffirm, belief, extend, good, wish, mr, donald, trump, begin, new, term, ceremony, indoor, bitterly, cold, weather, trump, oath, office, rotunda, capitol, washington, dc, delight, convey, behalf, government, people, bangladesh, heartfelt, felicitations, victory, presidential, election, chief, adviser, professor, muhamamd, yunus, congratulatory, message, trump, win, election, november, year, elect, president, term, reflect, leadership, vision, resonate, people, unite, state, america, confident, stewardship, unite, state, thrive, continue, inspire, world, message, read, dr, yunus, bangladesh, share, long, history, friendship, collaboration, numerous, area, mutual, interest, relationship, continue, grow, depth, breadth, trump, previous, term, office, chief, adviser, firmly, believe, possibility, endless, friendly, nation, work, explore, new, avenue, partnership"
"Tech billionaires take center stage at Trump inauguration","tech, billionaires, include, elon, musk, mark, zuckerberg, jeff, bezos, prime, position, donald, trump, inauguration, monday, unprecedented, demonstration, power, influence, politic, musk, bezos, zuckerberg, world, rich, people, accord, forbes, google, cofounder, sergey, brin, attend, rank, 7, tech, tycoon, spend, week, election, court, favor, trump, mark, dramatic, shift, silicon, valley, hostile, response, term, president, year, ago, attendee, include, apple, ceo, tim, cook, google, ceo, sundar, pichai, tiktok, ceo, shou, chew, sit, row, stage, platform, future, remain, uncertain, trump, late, day, order, day, pause, enforce, law, effectively, ban, tiktok, unite, state, despite, highly, limit, seat, ceremony, indoor, bad, weather, meta, ceo, zuckerberg, attend, wife, priscilla, chan, amazon, executive, chairman, bezos, accompany, fiancee, lauren, sanchez, wealthy, man, america, sit, trump, inauguration, understand, billionaire, class, control, government, leftwing, senator, bernie, sander, social, medium, post, tech, titan, prominent, position, inauguration, stage, particularly, notable, zuckerberg, trump, threaten, life, imprisonment, month, ago, meta, chief, recently, headline, brashly, align, companys, policy, trump, conservative, worldview, notably, eliminate, factchecking, unite, state, relax, hate, speech, restriction, facebook, instagram, musk, strong, support, trump, spend, usd, million, help, republican, win, november, election, transform, x, platform, amplifier, protrump, voice, bezos, like, zuckerberg, peer, visit, trump, maralago, estate, florida, lead, inauguration, favorable, treatment, government, contract, reduce, regulatory, scrutiny, amazon, stake, owner, washington, post, bezos, spark, controversy, block, newspaper, plan, endorsement, democratic, vice, president, kamala, harris, presidential, election, trigger, newsroom, protest, subscriber, cancellation, musk, leader, socalled, department, government, efficiency, advise, white, house, cut, public, spend, spend, past, month, maralago, musk, spacex, major, government, contractor, amazon, aw, cloud, compute, division, google, count, government, big, client, google, meta, apple, amazon, fight, landmark, antitrust, lawsuit, government, wealthy, people, basically, pay, access, upcoming, administration, recognize, trump, transactional, andrew, selepak, medium, professor, university, florida, theyre, sure, clear, face, especially, money, add"
"China keen to take Chief Adviser to Beijing in March","follow, august, changeover, studentpeople, uprising, china, keen, deepen, relation, bangladesh, beijing, interest, summit, meet, continuation, bilateral, meeting, interim, government, china, want, chief, adviser, dr, muhammad, yunus, china, march, year, mark, decade, diplomatic, relation, country, china, invite, dr, muhammad, yunus, attend, boao, forum, asia, bfa, schedule, hold, beijing, march, diplomatic, source, boao, forum, asia, nonprofit, platform, host, highlevel, forum, leader, government, business, academia, asia, continent, share, vision, press, issue, region, world, large, wish, high, level, source, government, sunday, tell, correspondent, china, interest, bilateral, summit, meet, chief, adviser, alongside, attend, bfa, conference, visit, beijing, foreign, ministry, official, foreign, adviser, md, touhid, hossain, leave, china, bilateral, meet, monday, afternoon, hold, bilateral, meet, china, foreign, minister, wang, yi, beijing, tuesday, discuss, relation, forward, health, sector, importance, cooperation, country, come, day, discussion, hold, set, friendship, hospital, bangladesh, help, china, time, ensure, lowcost, medical, service, bangladeshi, patient, province, include, kunming, good, sign, memorandum, understand, mous, special, project, care, rehabilitation, injure, people, dhaka, chief, adviser, recently, invite, attend, nation, bfa, summit, beijing, march, china, interest, organise, discussion, countrys, leader, include, president, xi, jinping, bangladeshs, leader, sideline, forum, meet, wish, foreign, ministry, official, think, uncertainty, visit, march, state, event, organise, march, bangladeshs, independence, national, day, apart, matter, consideration, organise, summit, meet, month, foreign, adviser, meet, time, diplomat, believe, imperative, cautiously, instead, close, country, hurriedly, tilt, policy, previous, government, diplomatic, source, tell, correspondent, matter, send, charter, plane, china, chief, adviser, muhammad, yunus, beijing, mention, source, issue, chief, adviser, visit, china, come, discussion, foreign, affair, adviser, visit, beijing, source, issue, importance, health, sector, cooperation, expect, discuss, foreign, ministerlevel, meet, beijing, tuesday, dhaka, propose, beijing, sign, mou, set, specialise, medical, rehabilitation, centre, financial, technical, assistance, china, especially, treatment, rehabilitation, injure, student, uprising, source, far, bangladesh, interest, sign, mou, quickly, construct, friendship, hospital, fund, china, purbachal, bangladesh, want, hospital, run, skill, physician, professional, china, apart, bangladesh, want, china, cooperation, identify, highquality, hospital, kunming, adjacent, area, ensure, medical, service, bangladeshi, patient, china, ambassador, bangladesh, yao, wen, tell, prothom, alo, sunday, morning, agree, principle, establish, hospital, bangladesh, wait, detail, proposal, bangladesh, want, know, kind, hospital, bangladesh, want, hospital, construct, forward, follow, process, receive, proposal, bangladesh, interest, modernise, bangladeshs, health, sector, add, mou, sustainable, management, river, water, sign, country, schedule, renew, foreign, adviser, visit, agreement, sign, bangladesh, water, development, board, bpdb, power, china, consider, outline, mou, discussion, underway, country, teesta, project, continuation, mou, speak, teesta, project, yao, wen, interest, assist, bangladesh, project, bangladesh, decide, implement, diplomatic, source, bangladesh, meet, beijing, raise, construction, china, mega, dam, upstream, brahmaputra, river, country, initiative, construct, dam, worth, usd, billion, tibet, generate, mw, electricity, create, doubt, availability, water, downstream, country, india, express, concern, construction, dam, chinese, ambassador, meet, adviser, touhid, hossain, sunday, morning, late, speak, construction, dam, tibet, ambassador, construction, negative, impact, downstream, country, foreign, minister, level, bilateral, meet, bangladesh, stress, investment, trade, project, finance, addition, reduce, interest, rate, cent, reasonable, level, dhaka, seek, cancellation, cent, loan, commitment, fee, meet, discuss, important, project, include, procurement, ship, previous, agreement, especially, project, finance, currently, stall, dhaka, seek, china, cooperation, rohingya, issue, bangladesh, urge, china, stand, rohingyas, un, security, council, time, bangladesh, expect, investment, china, august, china, come, forward, investment, usd, million, country, major, trade, partner, bangladesh, dhaka, seek, cooperation, free, trade, good, raw, material, include, delay, payment, bangladesh, seek, dutyfree, quotafree, facility, bangladeshi, product, chinese, market, additional, year, graduate, lowincome, country, ask, china, visit, foreign, adviser, md, touhid, hossain, tell, prothom, alo, discussion, advance, cooperation, country, mind, fivedecade, anniversary, relation, priority, economic, development, cooperation, report, originally, publish, print, online, edition, prothom, alo, rewrite, english, shameem, reza"
"CA leaves Dhaka for Davos to attend WEF","chief, adviser, dr, muhammad, yunus, leave, dhaka, davos, switzerland, early, hour, tuesday, fourday, official, visit, attend, annual, meet, world, economic, forum, wef, flight, emirate, airline, carry, prof, yunus, entourage, leave, hazrat, shahjalal, international, airport, today, chief, adviser, press, secretary, shafiul, alam, tell, bss, visit, chief, adviser, expect, hold, bilateral, talk, german, chancellor, olaf, scholz, finland, president, alexander, stubb, king, philippe, belgium, thai, prime, minister, paetongtarn, shinawatra, chief, adviser, hold, meeting, sheikha, latifa, bint, mohammed, bin, rashid, al, maktoum, daughter, prime, minister, unite, arab, emirate, uae, sheikh, mohammed, bin, rashid, al, maktoum, christine, lagarde, president, european, central, bank, sir, nick, clegg, president, global, affair, meta, dr, agnes, callamard, secretary, general, amnesty, international, dr, ngozi, okonjoiweala, director, general, world, trade, organisation, wto, separate, dialogue, bangladesh, hold, world, economic, forum, global, business, leader, ceos, international, organisation, join, chief, adviser, schedule, return, home, january"
"A lost chapter in Bangladesh-Pakistan diplomacy","bangladeshs, diplomacy, like, oldfashioned, wall, clock, pendulum, swing, forth, past, half, decade, tilt, time, change, direction, recent, past, relation, country, unusually, good, deteriorate, effort, underway, correct, abnormal, chapter, time, effort, revive, lose, communication, bilateral, relationship, bangladesh, pakistan, increase, conversation, diplomat, politician, country, mark, anniversary, mutual, recognition, bangladesh, pakistan, moment, celebratory, favorable, moment, effort, rebuild, relationship, natural, question, arise, old, sensitive, issue, bangladeshs, outstanding, pakistan, settle, fundamental, unresolved, issue, relationship, european, country, function, union, year, unfortunately, country, south, asia, different, experience, initially, separate, entity, able, form, union, like, eu, manage, maintain, normal, bilateral, relation, case, small, conflict, lead, imposition, strict, visa, policy, citizen, teenage, mentality, expect, commercial, cultural, relation, progress, bangladeshpakistan, relationship, suffer, similar, misfortune, pakistans, export, business, bangladesh, little, million, onefivehundredth, bangladeshs, total, export, pakistan, pakistan, somewhat, ahead, regard, high, tariff, bangladesh, difficult, pakistani, good, enter, country, year, flow, good, pakistan, closely, monitor, political, decision, long, time, direct, flight, pakistan, international, airline, pia, dhaka, situation, clearly, need, change, country, represent, market, million, people, normal, diplomatic, relation, open, significant, opportunity, nation, pakistan, good, market, bangladeshs, product, range, raw, jute, pharmaceutical, recently, business, chamber, country, form, new, council, increase, trade, difficult, businessman, smoothen, interstate, relation, politician, forward, bangladesh, pakistan, address, old, debt, unresolved, issue, significant, obstacle, past, issue, urduspeaking, people, strand, bangladesh, bangladesh, grant, vote, right, pakistan, somewhat, free, responsibility, government, dhaka, considerable, generosity, matter, today, urduspeaking, generation, little, incline, pakistan, unresolved, issue, concern, division, postindependence, resource, issue, hasnt, discuss, long, time, need, resolution, relationship, forward, bangladeshs, perspective, people, legitimate, claim, resource, policymaker, ignore, demand, pakistan, bangladesh, unite, year, separation, division, economic, responsibility, naturally, arise, include, share, foreign, asset, foreign, currency, hold, bangladesh, war, surplus, generate, export, import, period, east, pakistan, receipt, repayment, foreign, debt, matter, compensation, war, victim, political, emotion, tension, follow, crucial, task, carry, dispassionately, remain, unresolved, year, pass, matter, leader, country, resolve, way, precedent, international, law, regard, division, state, legacy, partition, birth, new, state, unification, region, bangladesh, pakistan, guidance, convention, reach, satisfactory, resolution, dispute, issue, december, summit, egypt, bangladeshs, interim, government, chief, advisor, professor, muhammad, yunus, meet, pakistans, prime, minister, shahbaz, sharif, appropriately, mention, old, issue, resurface, forward, unresolved, matter, settle, especially, sake, future, generation, meet, early, un, general, assembly, good, nawaz, sharifs, tenure, past, pakistan, positive, attitude, bilateral, issue, light, good, moment, country, forward, relation, opportunity, independence, bangladeshi, politician, intellectual, settlement, old, debt, war, pakistan, reserve, billion, claim, bangladeshs, share, prime, minister, sheikh, mujibur, rahman, raise, claim, issue, zulfikar, ali, bhuttos, visit, formal, discussion, debt, place, bangladesh, present, claim, billionlater, bhutto, suggest, bangladesh, share, foreign, debt, negative, approach, acknowledge, rationale, division, asset, bangladesh, agree, undivided, pakistans, foreign, debt, million, pressure, creditor, bangladesh, agree, decision, bangladesh, positive, begin, advance, relation, pakistan, bangladeshs, acceptance, foreign, debt, undivided, pakistan, relate, financial, division, time, resolution, need, come, package, discussion, debt, halt, shamsul, haq, foreign, minister, ziaur, rahmans, government, raise, matter, pakistani, government, initially, remain, silent, issue, late, pakistans, businessman, begin, raise, concern, compensate, abandon, business, bangladesh, add, complexity, issue, state, legacy, element, worth, listen, view, pakistans, industrialist, businessman, bangladeshi, government, late, corrective, action, response, pakistani, government, unwilling, unclear, address, state, legacy, debt, time, use, issue, asset, abandon, war, deflect, attention, matter, conflict, claim, obstacle, healthy, bilateral, relation, need, solution, concession, receive, return, expectation, high, pakistans, foreign, minister, upcoming, visit, bangladesh, lead, positive, progress, matter, true, war, industrial, asset, west, pakistan, nationalise, bangladesh, karachi, stock, exchange, late, record, industry, asset, need, extensive, research, determine, postwar, government, bangladesh, manage, property, correctly, distribute, asset, like, open, pandoras, box, avoid, responsibility, history, truly, difficult, start, issue, avoid, relation, pakistan, progress, matter, inevitably, come, fore, government, try, avoid, question, raise, nongovernmental, entity, avoid, entirely, emerge, international, forum, past, return, urduspeaking, people, issue, war, crime, overshadow, bangladeshpakistan, bilateral, talk, bangladesh, handle, issue, urdu, speaker, term, pakistan, come, positive, proposal, regard, settlement, debt, country, feel, embarrass, discuss, matter, directly, seek, technical, assistance, un, oic, initiative, speed, potential, commercial, diplomatic, geopolitical, cooperation, current, effort, normalize, relation, hold, division, debt, bangladesh, step, import, metric, ton, rice, pakistan, good, signal, expansion, bilateral, tie, normal, relationship, require, transparent, understand, past, wrong, future, sustainability, depend, past, justice, particular, international, assistance, send, east, pakistan, november, cyclone, distribute, outbreak, war, month, late, nearly, million, serve, immediate, inspire, precedent, pakistan, recent, history, relation, couldnt, continue, elevate, bilateral, relation, india, great, height, unresolved, teesta, watersharing, issue, unresolved, economic, issue, inevitably, resurface, bangladeshpakistan, relationship, people, wonder, watersharing, international, issue, economic, debt, altaf, parvez, researcher, history, column, appear, print, online, edition, prothom, alo, rewrite, english, edition, rabiul, islam"
"Medical admission postponed for candidates passed under quota, docs to be scrutinised","document, child, freedom, fighter, underprivileged, community, pass, mbbs, admission, test, quota, facility, education, session, scrutinise, information, find, incorrect, primary, selection, cancel, directorate, general, medical, education, dgme, monday, admission, procedure, student, pass, quota, facility, remain, postpone, completion, scrutiny, activity, continue, candidate, provision, cent, quota, child, freedom, fighter, martyr, freedom, fighter, birangonas, war, heroine, cent, reservation, underprivileged, community, mbbs, admission, test, result, publish, sunday, student, medical, college, include, dhaka, medical, college, university, student, stage, demonstration, day, demand, republish, result, scrap, mbbs, admission, test, result, publish, sunday, away, quota, system, medical, admission, test, submit, memo, chief, adviser, dr, muhammad, yunus, pm, today, monday, demand, medical, admission, test, result, cancel, pm, today, republish, context, notification, dgme, today, policy, state, document, candidate, pass, quota, facility, freedom, fighter, martyr, freedom, fighter, war, heroine, underprivileged, community, scrutinise, central, admission, committee, admission, process, subject, permission, complete, candidate, pass, quota, facility, underprivileged, community, ask, remain, present, dgme, necessary, document, january, candidate, pass, quota, facility, freedom, fighter, martyr, freedom, fighter, war, heroine, ask, document, dgme, january, dgmes, additional, director, general, medical, education, professor, rubina, yasmin, tell, prothom, alo, policy, state, cent, quota, child, freedom, fighter, martyr, freedom, fighter, war, heroine, quota, government, decision, quota, long, place, far, government, decide, retain, quota, child, freedom, fighter, martyr, freedom, fighter, war, heroine, valid, document, select, remain, seat, fill, merit, list"
"Trump pardons 1,500 defendants of 6 Jan, exits climate pact, doubles down on fossil fuel","donald, trump, pardon, supporter, attack, capitol, year, ago, swiftly, impose, government, hour, reclaim, presidency, monday, day, ceremony, trump, sign, series, executive, action, curb, immigration, roll, environmental, regulation, racial, gender, diversity, initiative, immediate, action, raise, tariff, key, campaign, promise, impose, duty, canada, mexico, february, decision, pardon, supporter, attack, capitol, january, sure, enrage, police, lawmaker, life, risk, unprecedented, episode, modern, history, roughly, police, officer, assault, attack, spray, chemical, irritant, strike, pipe, pole, weapon, people, die, chaos, include, trump, supporter, shoot, dead, police, cover, order, leader, farright, oath, keeper, proud, boy, militant, group, serve, long, prison, sentence, early, day, trump, oath, office, capitol, rotunda, mob, supporter, rampage, jan, unsuccessful, attempt, reverse, loss, joe, biden, ceremony, trump, portray, savior, choose, god, rescue, falter, nation, inauguration, triumphant, return, political, disruptor, survive, assassination, attempt, win, election, despite, criminal, conviction, prosecution, stem, effort, overturn, election, loss, save, god, america, great, trump, president, century, win, term, lose, white, house, felon, occupy, white, house, old, president, swear, republican, majority, chamber, congress, trump, quickly, clamp, illegal, immigration, signature, issue, enter, politic, shortly, oath, office, border, authority, shut, program, allow, thousand, migrant, enter, legally, schedule, appointment, smartphone, exist, appointment, cancel, white, house, trump, sign, order, declare, national, emergency, usmexico, border, unlock, fund, allow, dispatch, troop, sign, order, end, policy, confer, citizenship, bear, unite, state, certain, trigger, lengthy, court, fight, executive, order, designate, mexican, drug, cartel, terrorist, organisation, rid, cancer, cause, biden, administration, trump, sign, stack, executive, order, oval, office, order, revoke, biden, administration, policy, govern, artificial, intelligence, electric, vehicle, impose, freeze, federal, hire, order, government, worker, return, office, work, home, sign, paperwork, create, department, government, efficiency, outside, advisory, board, head, billionaire, elon, musk, aim, cut, large, swath, government, spend, state, department, dozen, nonpartisan, senior, diplomat, ask, resign, broad, plan, replace, nonpartisan, civil, servant, loyalist, issue, order, scrap, federal, diversity, program, require, government, recognise, gender, assign, birth, trump, seek, portray, peacemaker, unifier, halfhour, speech, tone, sharply, partisan, repeat, false, claim, campaign, country, prison, america, voice, familiar, grievance, criminal, prosecution, biden, seat, nearby, trump, issue, sting, indictment, predecessor, policy, immigration, foreign, affair, government, unlimited, fund, defense, foreign, border, refuse, defend, american, border, importantly, people, trump, numerous, tech, executive, seek, curry, favor, incoming, administration, include, rich, man, world, tesla, spacex, ceo, elon, musk, amazon, founder, jeff, bezos, meta, ceo, mark, zuckerberg, prominent, seat, stage, cabinet, nominee, member, trump, family, trump, send, astronaut, mar, prompt, musk, long, talk, colonize, planet, raise, fist, trump, vow, change, gulf, mexico, gulf, america, repeat, intention, control, panama, canal, foreign, policy, pronouncement, cause, consternation, ally, trump, oath, office, preserve, protect, defend, constitution, pm, et, gmt, administer, chief, justice, john, roberts, vice, president, jd, vance, swear, outgoing, vice, president, kamala, harris, lose, trump, november, seat, biden, section, president, barack, obama, george, w, bush, bill, clinton, secretary, state, hillary, clinton, lose, trump, sit, husband, bill, obamas, wife, michelle, choose, attend, ceremony, indoor, extreme, cold, grip, country, trump, skip, bidens, inauguration, continue, claim, falsely, election, lose, biden, rig, biden, official, act, pardon, people, trump, threaten, retaliation, include, general, mark, milley, chairman, joint, chief, staff, trump, suggest, execute, hold, backchannel, talk, china, milleys, portrait, remove, pentagon, shortly, trump, inauguration, pardon, family, member, minute, leave, office, cite, fear, trump, target"
"Ali Imam Majumdar given charge of land ministry","food, adviser, ali, imam, majumdar, additional, charge, land, ministry, cabinet, division, issue, official, notification, regard, monday, follow, pass, land, adviser, af, hassan, ariff, die, heart, attack, december, notification, line, previous, communication, cabinet, division, date, august, august, november, chief, adviser, interim, government, assign, ali, imam, majumdar, additional, responsibility, ministry, land"
